year,X0,Coordinates0,Latitude0,Longitude0,freq
1991,"'Antananarivo',Madagascar","Antananarivo, Analamanga",-18.91003,47.52736,15
1991,"'Ardeche',France","Ardèche, Auvergne-Rhône-Alpes",44.7527175,4.425498095,1
1991,"'Bafoussam',Cameroon","Bafoussam, Mifi, Ouest",5.47928,10.41472,1
1991,"'Baku',Azerbaijan",Baku,40.41066,49.87222,2
1991,"'Bamako',Mali",Bamako,12.65039,-8.00004,3
1991,"'Bamenda',Cameroon","Bamenda, Mezam, Northwest",5.95964,10.15603,2
1991,"'Bangkok',Thailand",Thailand,13.75328,100.54172,1
1991,"'Bangui',Central African Republic",Bangui,4.39669,18.5586,3
1991,"'Banjul',Gambia",Banjul,13.45357,-16.57474,1
1991,"'Barquisimeto',Venezuela","Barquisimeto, Iribarren, Lara",10.05006,-69.39269,1
1991,"'Batman',Turkey",Batman,37.88289,41.12793,1
1991,"'Bayan Palace',Kuwait",Bayan Palace,29.30734,48.03356,1
1991,"'Beijing',China",Beijing,39.9075,116.39723,1
1991,"'Beira',Mozambique","Beira, Sofala",-19.81725,34.85328,1
1991,"'Belgrade',Yugoslavia",Jugoslavija,44.83015,20.41965,8
1991,"'Berlin',Germany",Berlin,52.51604,13.37691,1
1991,"'Bern',Switzerland",Bern,46.94843,7.44046,1
1991,"'Bhopal',India","Bhopal, Madhya Pradesh",23.26466,77.40518,1
1991,"'Blackpool',United Kingdom","Blackpool, Lancashire, England",53.82087376,-3.051538194,1
1991,"'Bolivar Plaza Caracas',Venezuela","Plaza Bolivar, Calle Bolívar, Baruta, Caracas, Baruta, Bolivariano de Miranda, 1080",10.43442,-66.87482003,1
1991,"'Bonn',Germany","Bonn, Nordrhein-Westfalen",50.73242,7.10186,3
1991,"'Brazzaville',Congo Brazzaville",Brazzaville,-4.27934,15.26039,1
1991,"'Brittany',France","France, Guignen, Ille-et-Vilaine, Bretagne",47.92594,-1.90051,1
1991,"'Buenos',Argentina",Argentina,-35.49575818,-65.07154211,2
1991,"'Busan',South Korea",Busan,35.10278,129.04028,1
1991,"'Cairo',Egypt",Egypt,30.0454,31.23561,2
1991,"'Caracas',Venezuela","Caracas, Municipio Libertador, Distrito Capital",10.48801,-66.87919,2
1991,"'Carcassonne',France","Carcassonne, Aude, Occitanie",43.21197,2.35781,1
1991,"'Central University',Venezuela","La Central, Lara",10.32603,-70.1968,2
1991,"'Chapare',Bolivia",Chapare,-16.58102789,-65.5800142,1
1991,"'Cochabamba',Bolivia",Cochabamba,-17.39004,-66.16043,1
1991,"'Conakry',Guinea",Conakry,9.51198,-13.70538,1
1991,"'Concepcion',Chile","Concepción, Bíobío",-36.82815,-73.0512,1
1991,"'Congress Building Caracas',Venezuela","Caracas, Municipio Libertador, Distrito Capital",10.48801,-66.87919,1
1991,"'Dagestan',USSR",Usur,41.52592,47.69016,1
1991,"'Dijon',France","Dijon, Côte-d'Or, Bourgogne-Franche-Comté",47.32698,5.04299,1
1991,"'Dili',Indonesia",Indonesia,-0.989818182,113.915865,1
1991,"'Douala',Cameroon","Douala, Littoral",4.04777,9.69497,5
1991,"'Dushanbe',Tajikistan",Dushanbe,38.53575,68.77905,1
1991,"'East Timor',Indonesia",Timor,0.85,123.78333,1
1991,"'Erfirt',Germany","Erfurt, Thüringen",50.97793,11.02351,1
1991,"'Gaborone',Botswana",Gaborone,-24.65527,25.91904,1
1991,"'Garoua',Cameroon","Garoua, Bénoué, Nord",9.30481,13.3996,1
1991,"'Guanajuato',Mexico","México, Silao, Guanajuato",20.9505,-101.43848,1
1991,"'Guatemala City',Guatemala",Guatemala City,14.64072,-90.51327,1
1991,"'Hampstead',United Kingdom","Hampstead, Camden, Greater London, England",51.55667026,-0.178546756,1
1991,"'Harare',Zimbabwe",Zimbabwe,-17.99828,31.05703,2
1991,"'Herat',Afghanistan","Herāt, Herat",34.34817,62.19967,1
1991,"'Hoyerswerda',Germany","Hoyerswerda, Sachsen",51.43903,14.24429,1
1991,"'Imbabura',Ecuador",Imbabura,0.407704661,-78.34303643,1
1991,"'Isfahan',Iran","Isfahan, Eşfahān",32.65722,51.67761,1
1991,"'Islamabad',Pakistan","Islamabad, Islāmābād",33.72148,73.04329,1
1991,"'Italian',Italy",Italian,41.70457,12.68542,1
1991,"'Jeremie',Haiti","Jérémie, Grand-Anse",18.64423,-74.11382,1
1991,"'Johannesburg',South Africa",South Africa,-26.04141,28.01749,4
1991,"'Jolie',France","La Jolie, Maransin, Gironde, Nouvelle-Aquitaine",45.05733,-0.24018,1
1991,"'Kakira',Uganda","Kakira, Butembe, Jinja",0.52818,33.28288,1
1991,"'Kampala',Uganda",Kampala,0.31589,32.57501,1
1991,"'Kankan',Guinea","Kankan, Kanfamoriyah, Kankan",10.38218,-9.30682,1
1991,"'Kara Region',Togo","Région de la Kara, Kara",9.66667,0.91667,1
1991,"'Kathmandu',Nepal","Kathmandu, Bagmati",27.69329,85.32227,2
1991,"'Kigali',Rwanda","Kigali, Nyarugeng, Umujyi Wa Kigali",-1.97575,30.03177,1
1991,"'Kingston',Jamaica",Kingston,17.97096,-76.78827,2
1991,"'Kinshasa',Congo Kinshasa","Kinshasa, Sembé, Sangha",1.99774,14.78264,4
1991,"'Kishinev',Moldova",Kishinev,47.02459,28.83242,4
1991,"'Kuwait City',Kuwait","Kuwait, Kuwait City",29.37321,47.97142,1
1991,"'Kwangju',South Korea",Kwangju,37.48219,127.23408,5
1991,"'La Paz',Bolivia",Bolivia,-16.49736,-68.1286,1
1991,"'Leipzig',Germany","Leipzig, Sachsen",51.3452,12.38594,6
1991,"'Leningrad',USSR",Leningrad,56.86773,35.91362,1
1991,"'Lhasa',China","Lhasa, Tibet Autonomous Region",29.65,91.1,1
1991,"'Lima',Peru",Perú,-11.94138,-77.04546,3
1991,"'Liverpool',United Kingdom","Liverpool, Merseyside, England",53.40936679,-2.978494817,1
1991,"'Lome',Togo","Lomé, Maritime",6.13969,1.22958,9
1991,"'London',United Kingdom","London, Greater London, England",51.50740836,-0.127698693,5
1991,"'Lusaka',Zambia",Lusaka,-15.42561,28.27873,1
1991,"'Madrid',Spain","Madrid, Comunidad de Madrid",40.41955,-3.69196,1
1991,"'Mahajanga',Madagascar","Mahajanga, Mahajanga I, Boeny",-15.71427,46.33934,1
1991,"'Majdal Shams',Syria","Majdal Shams, Quneitra",33.27,35.76972,1
1991,"'Manila',Philippines","Manila, First District NCR, National Capital Region",14.60487,120.98627,3
